year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
21,4287-5447arizona,4287arizona,5.19,27.92,49.2,2618,11.0,2.0,40834000790,0.5,0.5,0.0,0.75,0,arizona,1
17,4287-5449arizona,4287arizona,6.63,16.66,61.8,3092,7.0,0.51,40834000680,0.0,0.0,1.0,0.0,0,arizona,0
18,4287-5449arizona,4287arizona,6.14,18.09,60.96,2979,10.0,0.43,40834000680,0.0,0.0,1.0,0.0,0,arizona,0
19,4287-5449arizona,4287arizona,5.2,19.81,60.66,2979,10.0,0.68,40834000680,0.0,0.0,1.0,0.0,0,arizona,0
21,4287-5449arizona,4287arizona,5.54,21.38,56.41,2778,6.0,2.0,40834000680,0.5,0.5,0.0,0.75,0,arizona,1
17,4287-5446arizona,4287arizona,10.26,47.73,25.07,1452,44.0,1.74,40834000793,0.0,0.0,1.0,0.0,0,arizona,0
18,4287-5446arizona,4287arizona,11.59,48.45,22.84,1449,44.0,1.49,40834000793,0.0,0.0,1.0,0.0,0,arizona,0
19,4287-5446arizona,4287arizona,11.26,49.3,22.73,1430,48.0,4.39,40834000793,0.0,0.0,1.0,0.0,0,arizona,0
21,4287-5446arizona,4287arizona,10.07,51.75,18.3,1202,31.0,3.14,40834000793,0.5,0.5,0.0,0.75,0,arizona,1
17,4287-5445arizona,4287arizona,11.12,44.07,30.95,1745,39.0,0.9,40834000794,0.0,0.0,1.0,0.0,0,arizona,0
18,4287-5445arizona,4287arizona,11.24,44.19,30.68,1806,41.0,1.85,40834000794,0.0,0.0,1.0,0.0,0,arizona,0
19,4287-5445arizona,4287arizona,10.84,46.81,29.76,1771,44.0,2.66,40834000794,0.0,0.0,1.0,0.0,0,arizona,0
21,4287-5445arizona,4287arizona,9.58,47.13,27.74,1691,27.0,2.02,40834000794,0.5,0.5,0.0,0.75,0,arizona,1
17,4287-5448arizona,4287arizona,23.99,30.25,33.66,2555,28.0,0.61,40834001567,0.0,0.0,1.0,0.0,0,arizona,0
18,4287-5448arizona,4287arizona,24.52,31.9,30.81,2577,28.0,1.5,40834001567,0.0,0.0,1.0,0.0,0,arizona,0
19,4287-5448arizona,4287arizona,25.49,33.43,28.58,2519,30.0,1.74,40834001567,0.0,0.0,1.0,0.0,0,arizona,0
21,4287-5448arizona,4287arizona,24.91,35.67,22.99,1979,20.0,2.07,40834001567,0.5,0.5,0.0,0.75,0,arizona,1
17,4287-5444arizona,4287arizona,12.7,68.6,8.72,1583,64.0,1.51,40834000795,0.0,0.0,1.0,0.0,0,arizona,0
18,4287-5444arizona,4287arizona,12.46,69.68,8.29,1725,65.0,1.75,40834000795,0.0,0.0,1.0,0.0,0,arizona,0
19,4287-5444arizona,4287arizona,12.29,69.61,7.69,1652,55.0,1.92,40834000795,0.0,0.0,1.0,0.0,0,arizona,0
21,4287-5444arizona,4287arizona,9.96,71.19,6.95,1496,45.0,3.42,40834000795,0.5,0.5,0.0,0.75,0,arizona,1
17,4219-4889arizona,4219arizona,0.0,21.11,75.91,469,26.0,1.16,40841001110,0.0,0.0,1.0,0.0,0,arizona,0
18,4219-4889arizona,4219arizona,0.0,19.24,76.46,395,27.0,1.17,40841001110,0.0,0.0,1.0,0.0,0,arizona,0
19,4219-4889arizona,4219arizona,0.0,19.32,76.89,502,28.0,0.91,40841001110,0.0,0.0,1.0,0.0,0,arizona,0
21,4219-4889arizona,4219arizona,0.0,22.14,74.86,533,22.0,2.52,40841001110,1.0,0.0,0.0,0.5,0,arizona,1
17,4288-85810arizona,4288arizona,6.13,84.92,5.06,2334,71.0,2.11,40852002416,0.0,0.0,1.0,0.0,0,arizona,0
18,4288-85810arizona,4288arizona,6.06,84.74,5.0,2378,70.0,2.5,40852002416,0.0,0.0,1.0,0.0,0,arizona,0
19,4288-85810arizona,4288arizona,6.15,84.98,4.87,2423,67.0,1.95,40852002416,0.0,0.0,1.0,0.0,0,arizona,0
21,4288-85810arizona,4288arizona,4.81,86.37,4.41,2018,73.0,3.15,40852002416,0.2,0.8,0.0,0.9,0,arizona,1
17,4288-80051arizona,4288arizona,12.29,74.9,7.74,2287,68.0,2.25,40852002339,0.0,0.0,1.0,0.0,0,arizona,0
18,4288-80051arizona,4288arizona,13.18,73.85,8.24,2245,67.0,1.51,40852002339,0.0,0.0,1.0,0.0,0,arizona,0
19,4288-80051arizona,4288arizona,12.01,75.17,7.86,2340,66.0,1.38,40852002339,0.0,0.0,1.0,0.0,0,arizona,0
21,4288-80051arizona,4288arizona,8.93,80.21,6.06,1981,66.0,4.74,40852002339,0.2,0.8,0.0,0.9,0,arizona,1
17,4288-89908arizona,4288arizona,7.66,85.64,3.83,1853,71.0,2.42,40852002912,0.0,0.0,1.0,0.0,0,arizona,0
18,4288-89908arizona,4288arizona,8.01,85.52,4.09,1810,73.0,2.75,40852002912,0.0,0.0,1.0,0.0,0,arizona,0
19,4288-89908arizona,4288arizona,8.36,85.27,3.37,1867,73.0,2.25,40852002912,0.0,0.0,1.0,0.0,0,arizona,0
21,4288-89908arizona,4288arizona,7.25,85.79,2.64,1780,69.0,4.23,40852002912,0.2,0.8,0.0,0.9,0,arizona,1
17,4288-5452arizona,4288arizona,9.82,80.88,5.35,2170,70.0,2.35,40852000805,0.0,0.0,1.0,0.0,0,arizona,0
18,4288-5452arizona,4288arizona,9.18,81.47,5.11,2310,68.0,2.14,40852000805,0.0,0.0,1.0,0.0,0,arizona,0
19,4288-5452arizona,4288arizona,9.3,81.61,5.41,2366,68.0,1.72,40852000805,0.0,0.0,1.0,0.0,0,arizona,0
21,4288-5452arizona,4288arizona,7.96,83.11,4.13,1960,65.0,2.43,40852000805,0.2,0.8,0.0,0.9,0,arizona,1
17,4288-5453arizona,4288arizona,10.18,65.87,17.5,2388,52.0,2.28,40852001478,0.0,0.0,1.0,0.0,0,arizona,0
18,4288-5453arizona,4288arizona,10.93,66.13,16.25,2406,53.0,1.71,40852001478,0.0,0.0,1.0,0.0,0,arizona,0
19,4288-5453arizona,4288arizona,11.07,66.76,14.75,2440,52.0,2.11,40852001478,0.0,0.0,1.0,0.0,0,arizona,0
21,4288-5453arizona,4288arizona,9.46,70.03,10.63,1872,50.0,4.58,40852001478,0.2,0.8,0.0,0.9,0,arizona,1
17,4168-4751arizona,4168arizona,7.81,27.14,56.88,269,53.0,1.44,40860000809,0.0,0.0,1.0,0.0,0,arizona,0
18,4168-4751arizona,4168arizona,5.11,26.08,60.48,372,47.0,1.93,40860000809,0.0,0.0,1.0,0.0,0,arizona,0
19,4168-4751arizona,4168arizona,3.23,26.62,59.45,402,41.0,2.53,40860000809,0.0,0.0,1.0,0.0,0,arizona,0
21,4168-4751arizona,4168arizona,0.0,29.72,56.68,434,43.0,4.63,40860000809,0.9,0.1,0.0,0.55,0,arizona,1
17,4197-4838arizona,4197arizona,0.0,0.0,0.0,713,78.0,5.29,40868000812,0.0,0.0,1.0,0.0,0,arizona,0
18,4197-4838arizona,4197arizona,0.0,0.0,0.0,688,78.0,4.55,40868000812,0.0,0.0,1.0,0.0,0,arizona,0
19,4197-4838arizona,4197arizona,0.0,0.0,0.0,651,82.0,6.76,40868000812,0.0,0.0,1.0,0.0,0,arizona,0
21,4197-4838arizona,4197arizona,0.0,0.0,0.0,558,82.0,16.04,40868000812,0.0,1.0,0.0,1.0,0,arizona,1
17,4403-5756arizona,4403arizona,14.85,49.05,24.66,734,73.0,4.91,40880001261,0.0,0.0,1.0,0.0,0,arizona,0
18,4403-5756arizona,4403arizona,15.92,46.62,24.23,710,72.0,4.83,40880001261,0.0,0.0,1.0,0.0,0,arizona,0
19,4403-5756arizona,4403arizona,14.69,51.84,22.03,708,72.0,5.35,40880001261,0.0,0.0,1.0,0.0,0,arizona,0
21,4403-5756arizona,4403arizona,16.29,52.36,18.21,571,98.0,8.43,40880001261,0.2,0.8,0.0,0.9,0,arizona,1
17,4403-5757arizona,4403arizona,3.92,81.07,7.69,1886,73.0,2.5,40880001443,0.0,0.0,1.0,0.0,0,arizona,0
18,4403-5757arizona,4403arizona,3.12,81.66,6.66,1892,67.0,3.24,40880001443,0.0,0.0,1.0,0.0,0,arizona,0
19,4403-5757arizona,4403arizona,2.86,82.49,6.73,1856,61.0,2.66,40880001443,0.0,0.0,1.0,0.0,0,arizona,0
21,4403-5757arizona,4403arizona,2.38,81.95,6.29,1684,63.0,5.15,40880001443,0.2,0.8,0.0,0.9,0,arizona,1
17,4403-5758arizona,4403arizona,15.3,51.42,22.91,1235,69.0,2.64,40880001263,0.0,0.0,1.0,0.0,0,arizona,0
18,4403-5758arizona,4403arizona,15.29,51.1,23.26,1092,66.0,2.41,40880001263,0.0,0.0,1.0,0.0,0,arizona,0
19,4403-5758arizona,4403arizona,15.42,50.05,24.62,979,61.0,3.83,40880001263,0.0,0.0,1.0,0.0,0,arizona,0
21,4403-5758arizona,4403arizona,14.57,47.63,24.55,611,65.0,8.85,40880001263,0.2,0.8,0.0,0.9,0,arizona,1
17,4403-6264arizona,4403arizona,0.0,85.23,0.0,88,57.0,8.81,40880001508,0.0,0.0,1.0,0.0,0,arizona,0
18,4403-6264arizona,4403arizona,0.0,68.06,15.28,72,57.0,10.96,40880001508,0.0,0.0,1.0,0.0,0,arizona,0
19,4403-6264arizona,4403arizona,0.0,65.28,0.0,72,65.0,10.53,40880001508,0.0,0.0,1.0,0.0,0,arizona,0
21,4403-6264arizona,4403arizona,0.0,69.39,0.0,49,61.0,31.91,40880001508,0.2,0.8,0.0,0.9,0,arizona,1
17,4403-5759arizona,4403arizona,1.81,89.77,3.27,1710,75.0,2.51,40880001445,0.0,0.0,1.0,0.0,0,arizona,0
18,4403-5759arizona,4403arizona,1.74,89.61,3.06,1665,68.0,2.27,40880001445,0.0,0.0,1.0,0.0,0,arizona,0
19,4403-5759arizona,4403arizona,1.39,89.55,2.6,1655,63.0,1.8,40880001445,0.0,0.0,1.0,0.0,0,arizona,0
