year,mergecode,mathpass,elapass,totaltest,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,districtcode,state,year_21
19,510652130260001,24.6,24.6,69,321,97.2,0.3,0.6,25.2,3.2,170447000131,0.0,0.0,1.0,0.0,51065213026il,il,0
21,510652130260001,23.2,32.9,73,321,95.3,0.0,0.0,29.9,2.8,170447000131,0.9,0.0,0.1,0.45,51065213026il,il,1
17,510840010260001,29.6,29.6,27,159,97.5,0.0,0.6,29.6,0.6,173945003991,0.0,0.0,1.0,0.0,51084001026il,il,0
18,510840010260001,29.3,26.8,41,139,95.0,0.0,0.0,33.1,2.2,173945003991,0.0,0.0,1.0,0.0,51084001026il,il,0
19,510840010260001,14.3,17.1,35,150,92.7,2.0,0.7,34.7,2.6,173945003991,0.0,0.0,1.0,0.0,51084001026il,il,0
21,510840010260001,16.7,23.3,30,155,92.9,0.0,0.0,89.0,3.8,173945003991,1.0,0.0,0.0,0.5,51084001026il,il,1
17,51084003A260001,42.9,49.2,191,774,92.2,1.9,0.9,12.7,0.1,173432003518,0.0,0.0,1.0,0.0,51084003A26il,il,0
18,51084003A260001,32.0,47.3,188,766,93.2,1.7,0.0,10.3,0.5,173432003518,0.0,0.0,1.0,0.0,51084003A26il,il,0
19,51084003A260001,37.6,48.7,191,801,92.8,1.6,0.9,11.1,1.9,173432003518,0.0,0.0,1.0,0.0,51084003A26il,il,0
21,51084003A260001,29.1,42.4,210,758,91.8,2.2,0.0,13.7,0.5,173432003518,0.8,0.2,0.0,0.6,51084003A26il,il,1
17,510840050260001,46.4,48.7,351,1382,81.2,5.9,3.8,16.9,0.9,170492000184,0.0,0.0,1.0,0.0,51084005026il,il,0
18,510840050260001,41.9,45.9,329,1403,79.5,4.8,4.8,17.7,1.1,170492000184,0.0,0.0,1.0,0.0,51084005026il,il,0
19,510840050260001,49.5,50.8,312,1395,78.6,5.2,4.5,19.1,2.9,170492000184,0.0,0.0,1.0,0.0,51084005026il,il,0
21,510840050260001,33.4,40.1,332,1461,78.4,5.6,4.0,18.3,2.5,170492000184,0.5,0.3,0.2,0.55,51084005026il,il,1
17,510840080260001,36.3,42.5,113,423,93.4,1.4,2.1,13.7,0.0,173192003349,0.0,0.0,1.0,0.0,51084008026il,il,0
